level,subject,year,question,option_a,option_b,option_c,option_d,correct_option,explanation,passage,option_e
ss3,Economics,2024,What does inflation mean?,A general increase in prices,A decrease in population,An increase in employment,A reduction in taxes,a,"Inflation is the rate at which the general level of prices for goods and services rises, causing purchasing power to fall.",,
ss3,Government,2024,What is a constitution?,A set of fundamental principles,A type of government,A voting system,A political party,a,"A constitution is a set of fundamental principles or established precedents according to which a state is governed.",,
ss3,Government,2024,Who is the head of state in a presidential system?,The President,The Prime Minister,The Speaker,The Chief Justice,a,"In a presidential system, the President is both the head of state and head of government.",,
ss3,Government,2024,What is the rule of law?,Everyone is subject to the law,The president is above the law,Only citizens must obey the law,Judges can ignore the law,a,"The rule of law means that no one is above the law — all individuals and institutions are accountable to the law.",,
ss3,Chemistry,2024,What is the atomic number of Carbon?,6,12,8,14,a,"Carbon has atomic number 6, meaning it has 6 protons in its nucleus.",,
ss3,Chemistry,2024,What is a catalyst?,A substance that speeds up a reaction,A substance that slows down a reaction,A by-product of reactions,A type of fuel,a,"A catalyst is a substance that increases the rate of a chemical reaction without being consumed in the process.",,
ss3,Chemistry,2024,What is the pH of pure water?,7,1,10,14,a,"Pure water at 25°C has a pH of 7, which is neutral on the pH scale (neither acidic nor basic).",,
ss3,Biology,2024,What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Golgi body,a,"Mitochondria are called the powerhouse of the cell because they generate most of the cell's ATP through cellular respiration.",,
ss3,Biology,2024,What is photosynthesis?,"Conversion of light to chemical energy","Breaking down glucose","Cell division","Protein synthesis",a,"Photosynthesis is the process by which plants convert light energy into chemical energy (glucose) using carbon dioxide and water.",,
ss3,Biology,2024,How many chromosomes do humans have?,23,44,46,48,c,"Humans have 46 chromosomes (23 pairs) in each somatic cell.",,
ss3,Literature in English,2024,Who wrote 'Things Fall Apart'?,Chinua Achebe,Wole Soyinka,Chimamanda Adichie,Buchi Emecheta,a,"'Things Fall Apart' was written by Nigerian author Chinua Achebe and published in 1958. It is one of the most widely read African novels.",,
ss3,Literature in English,2024,What is a metaphor?,A direct comparison without 'like' or 'as',A comparison using 'like' or 'as',An exaggeration,A sound device,a,"A metaphor directly compares two unlike things without using 'like' or 'as' (e.g., 'Time is a thief').",,
ss3,Literature in English,2024,Who is the protagonist in 'The Lion and the Jewel'?,Lakunle,Sidi,Baroka,Sadiku,c,"Baroka (the Bale) is the protagonist of Wole Soyinka's play 'The Lion and the Jewel'.",
ss3,Commerce,2024,What is a sole proprietorship?,A business owned by one person,A business owned by two people,A business owned by shareholders,A business owned by the government,a,"A sole proprietorship is a business owned and operated by one person, with unlimited liability.",
ss3,Commerce,2024,What is the purpose of advertising?,To promote products and services,To increase taxes,To reduce competition,To regulate trade,a,"Advertising aims to inform, persuade, and remind consumers about products and services to drive sales.",
ss3,Commerce,2024,What does E-commerce mean?,Buying and selling online,Electronic engineering,Economic commerce,Export commerce,a,"E-commerce refers to the buying and selling of goods or services using the internet.",
ss3,History,2024,In what year did Nigeria gain independence?,1957,1960,1963,1970,b,"Nigeria gained independence from British colonial rule on October 1, 1960.",,
ss3,History,2024,Who was the first Prime Minister of Nigeria?,Nnamdi Azikiwe,Abubakar Tafawa Balewa,Obafemi Awolowo,Ahmadu Bello,b,"Sir Abubakar Tafawa Balewa served as the first Prime Minister of independent Nigeria from 1960 to 1966.",,
ss3,History,2024,What was the Berlin Conference of 1884-85?,Division of Africa by European powers,End of World War I,Founding of the UN,Signing of the Treaty of Versailles,a,"The Berlin Conference of 1884-85 regulated European colonization and trade in Africa, leading to the Scramble for Africa.",
ss3,Islamic Religious Knowledge,2024,What is the first pillar of Islam?,Shahada (Faith),Salah (Prayer),Zakat (Charity),Sawm (Fasting),a,"The Shahada (declaration of faith: 'There is no god but Allah, Muhammad is his messenger') is the first pillar of Islam.",
ss3,Islamic Religious Knowledge,2024,How many times do Muslims pray daily?,Three,Five,Seven,Ten,b,"Muslims perform five daily prayers (Salah): Fajr, Dhuhr, Asr, Maghrib, and Isha.",,
ss3,Islamic Religious Knowledge,2024,What is the holy book of Islam?,Quran,Bible,Torah,Gita,a,"The Quran is the central religious text of Islam, believed by Muslims to be the word of God (Allah) revealed to Prophet Muhammad.",,
ss3,Christian Religious Studies,2024,How many books are in the Bible?,27,39,66,73,c,"The Bible contains 66 books: 39 in the Old Testament and 27 in the New Testament.",,
ss3,Christian Religious Studies,2024,Who led the Israelites out of Egypt?,Moses,Abraham,David,Joseph,a,"Moses led the Israelites out of Egyptian bondage as recorded in the book of Exodus.",,
ss3,Christian Religious Studies,2024,What is the Great Commission?,Go and make disciples of all nations,The Ten Commandments,The Lord's Prayer,The Sermon on the Mount,a,"The Great Commission in Matthew 28:19-20 is Jesus' instruction to his disciples to spread the gospel to all nations.",
ss3,Geography,2024,What is the largest continent in the world?,Africa,Europe,Asia,North America,c,"Asia is the largest continent by area, covering about 30% of Earth's land area.",,
ss3,Geography,2024,What is the longest river in Africa?,River Nile,River Niger,River Congo,River Zambezi,a,"The Nile River is the longest river in Africa at approximately 6,650 km, flowing through 11 countries.",,
ss3,Geography,2024,What is latitude?,Distance north or south of the equator,Distance east or west of Greenwich,Height above sea level,Depth below sea level,a,"Latitude measures distance north or south of the equator in degrees, from 0° at the equator to 90° at the poles.",
ss3,Yoruba Language,2024,Kini itumo 'Bawo ni'?,Hello,Goodbye,Thank you,What's up?,a,"'Bawo ni' is a Yoruba greeting meaning 'Hello' or more literally 'How are you/things?'.",,
ss3,Yoruba Language,2024,Kini oruko ojo keji ninu ose?,Ojo Aiku,Ojo Isegun,Ojo Ajé,Ojo Iségun,c,"In Yoruba culture, the days of the week have specific names. 'Ojo Aje' is the second day (Monday).",,
ss3,Yoruba Language,2024,"Tumo 'Omo olofa' si ede Geesi:",Good child,Lazy child,Poor child,Righteous child,d,"'Omo olofa' means a righteous or fair-minded child in English.",,
ss3,Further Mathematics,2024,What is the derivative of x²?,2x,x²,x,2,a,"The derivative of x² with respect to x is 2x (using the power rule: d/dx[xⁿ] = nxⁿ⁻¹).",,
ss3,Further Mathematics,2024,What is the value of log₁₀(100)?,1,2,10,100,b,"log₁₀(100) = 2 because 10² = 100.",,
ss3,Further Mathematics,2024,What is a matrix?,A rectangular array of numbers,A type of graph,An equation,A function,a,"A matrix is a rectangular array of numbers arranged in rows and columns, used in linear algebra.",
ss3,Current Affairs,2024,Who is the current President of Nigeria?,Bola Ahmed Tinubu,Atiku Abubakar,Peter Obi,Rabiu Kwankwaso,a,"Bola Ahmed Tinubu is currently serving as the President and Commander-in-Chief of the Federal Republic of Nigeria.",,
ss3,Current Affairs,2024,What is ECOWAS?,Economic Community of West African States,European Commission on Water and Sanitation,East African Cooperative,Environmental Council of West Africa,a,"ECOWAS is a regional political and economic union of 15 countries in West Africa, established in 1975.",
ss3,Current Affairs,2024,What is the minimum age for a Nigerian presidential candidate?,30,35,40,45,c,"Under the Nigerian Constitution, a person must be at least 40 years old to run for the office of President.",
