level_number,level_title,type,front,back,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation
4,Nigerian History: Key Figures,question,,,Who moved the motion for Nigeria's independence in 1953?,Nnamdi Azikiwe,Anthony Enahoro,Obafemi Awolowo,Ahmadu Bello,,b,"Chief Anthony Enahoro moved the historic motion for Nigeria's independence in 1953, which was eventually granted in 1960."
4,Nigerian History: Key Figures,question,,,Nigeria became a republic in which year?,1960,1963,1965,1970,,b,"Nigeria became a republic on October 1, 1963, with Nnamdi Azikiwe as the first President."
4,Nigerian History: Key Figures,question,,,The Richards Constitution was introduced in which year?,1922,1946,1951,1960,,b,"The Richards Constitution was introduced in 1946 by Governor Arthur Richards, establishing regional assemblies."
5,Nigerian Infrastructure,card,What is NTA?,The Nigerian Television Authority (NTA) is the state-owned television broadcaster in Nigeria. It is the largest television network in Africa and was established in 1976.,,,,,,,,
5,Nigerian Infrastructure,card,When was the Naira introduced?,The Naira and Kobo were introduced in Nigeria on January 1, 1973, replacing the Nigerian pound. The name 'Naira' was coined from 'Nigeria'.,,,,,,,,
5,Nigerian Infrastructure,card,Where was Nigeria's first oil refinery?,Nigeria's first oil refinery was established in Port Harcourt, Rivers State in 1965. It was called the Port Harcourt Refinery.,,,,,,,,
5,Nigerian Infrastructure,card,Where is the Kaduna Refinery?,The Kaduna Refinery and Petrochemical Company was established in 1980 in Kaduna State. It processes crude oil into petroleum products.,,,,,,,,
5,Nigerian Infrastructure,question,,,The Nigerian Television Authority (NTA) was established in which year?,1960,1976,1980,1966,,b,NTA was established in 1976 and is the largest television network in Africa.
5,Nigerian Infrastructure,question,,,The Naira and Kobo were introduced in Nigeria in which year?,1970,1971,1972,1973,,d,"The Naira and Kobo were introduced on January 1, 1973, replacing the Nigerian pound at a rate of 2 Naira to 1 pound."
5,Nigerian Infrastructure,question,,,The first oil refinery in Nigeria was established in,Warri,Port Harcourt,Kaduna,Lagos,,b,"Nigeria's first oil refinery was established in Port Harcourt, Rivers State, in 1965."
6,International Affairs: World Records,card,Which country has the most languages?,Papua New Guinea has the most number of languages in the world with over 800 distinct languages spoken across the country.,,,,,,,,
6,International Affairs: World Records,card,What is the highest waterfall in the world?,The highest waterfall in the world is Angel Falls in Venezuela. It has a height of 979 meters (3,212 feet).,,,,,,,,
6,International Affairs: World Records,card,Who was the first man to travel to space?,Yuri Gagarin was the first human to travel to space on April 12, 1961 aboard the Vostok 1 spacecraft. He was a Soviet cosmonaut.,,,,,,,,
6,International Affairs: World Records,question,,,Which country was the first to allow women to vote?,United States,United Kingdom,New Zealand,Canada,,c,"New Zealand was the first country to allow women to vote in 1893, followed by Australia in 1902."
6,International Affairs: World Records,question,,,The highest waterfall in the world is,Victoria Falls,Niagara Falls,Angel Falls,Iguazu Falls,,c,"Angel Falls in Venezuela is the world's highest waterfall at 979 meters (3,212 feet)."
6,International Affairs: World Records,question,,,Who was the first man to travel to space?,Neil Armstrong,Yuri Gagarin,John Glenn,Alan Shepard,,b,"Yuri Gagarin became the first human in space on April 12, 1961 aboard Vostok 1."
